StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,AB-fin up surface profile,J-pedestal flatness,O-inner standoff profile,SPEC,SPEC-AB,UpLimit-AB,DownLimit-AB,SPEC-J,UpLimit-J,DownLimit-J,SPEC-O,UpLimit-O,DownLimit-O,RawUp,up,up,up,up,RawDown,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,RawUpSTATUS,up,up,up,up,RawDownSTATUS,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,RawUpGT,up,up,up,up,RawDownGT,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,
20180917-182413,20180917-182440,NG,|上表面轮廓度 -64.892 超差|,26.19,,A117WithFin,LeftStation,SPC,-64.892,0.000,0.001,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-67.043,-67.060,-67.047,-67.064,RawDown,-2.142,-2.138,-2.093,-2.096,-2.117,-2.141,-2.137,-2.093,-2.096,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,-0.055,-0.055,-0.055,-0.055,RawDownGT,0.109,0.109,0.109,0.109,0.109,0.110,0.110,0.110,0.110,
20180917-182451,20180917-182517,OK,,26.13,,A117WithFin,LeftStation,SPC,-70.505,0.002,0.002,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.503,-70.503,-70.504,-70.506,RawDown,-0.004,-0.001,-0.001,-0.003,-0.004,-0.003,-0.001,0.000,-0.001,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.406,3.389,3.403,3.387,RawDownGT,2.246,2.246,2.202,2.203,2.222,2.247,2.246,2.203,2.204,
20180917-194408,20180917-194523,NG,|上表面轮廓度 -6.356 超差|上表面平行度 0.347 超差|下表面轮廓度 -6.001 超差|,74.63,,A117NoFin,LeftStation,SPC,-6.356,0.347,0.001,-6.001,-0.083,5.246,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-8.520,-8.531,-8.593,-8.581,-8.535,-8.541,-8.578,-8.572,RawDown,-2.122,-2.119,-2.074,-2.077,-2.098,-2.232,-2.225,-2.129,-2.136,-8.122,-8.111,-7.932,-7.942,-8.027,3.084,3.345,3.357,3.096,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,RawDownGT,0.128,0.128,0.128,0.129,0.129,0.008,0.008,0.008,0.008,0.129,0.129,0.129,0.129,0.129,0.008,0.008,0.008,0.008,
20180917-194538,20180917-194654,NG,|上表面轮廓度 -10.702 超差|上表面平行度 0.272 超差|下表面轮廓度 -6.191 超差|外螺柱轮廓度 5.086 超差|,75.38,,A117NoFin,LeftStation,SPC,-10.702,0.272,0.003,-6.191,-0.025,5.086,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.513,-10.591,-10.459,-10.514,-10.461,-10.455,-10.397,-10.439,RawDown,-0.026,-0.007,0.029,0.005,0.002,-0.048,-0.036,0.035,-0.003,-6.030,-5.981,-5.972,-6.105,-5.969,5.269,5.197,5.335,5.280,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.939,2.005,1.812,1.879,1.872,1.860,1.765,1.813,RawDownGT,2.224,2.240,2.231,2.210,2.229,2.191,2.197,2.172,2.141,2.221,2.259,2.089,1.966,2.186,2.193,1.860,1.986,2.192,
