StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,K-fin up surface profile,L-fin up surface parallelism,J-pedestal flatness,M-vc down surface profile,O-inner standoff profile,N-outer standoff profile,SPCMIN,上表面轮廓度MIN,上表面平行度MIN,凸台平面度MIN,下表面轮廓度MIN,内螺柱轮廓度MIN,外螺柱轮廓度MIN,SPCMAX,上表面轮廓度MAX,上表面平行度MAX,凸台平面度MAX,下表面轮廓度MAX,内螺柱轮廓度MAX,外螺柱轮廓度MAX,SPEC,SPEC-K,UpLimit-K,DownLimit-K,SPEC-L,UpLimit-L,DownLimit-L,SPEC-J,UpLimit-J,DownLimit-J,SPEC-M,UpLimit-M,DownLimit-M,SPEC-O,UpLimit-O,DownLimit-O,SPEC-N,UpLimit-N,DownLimit-N,,SPC,K-fin up surface profile,L-fin up surface parallelism,J-pedestal flatness,M-vc down surface profile,O-inner standoff profile,N-outer standoff profile,SPEC,SPEC-K,UpLimit-K,DownLimit-K,SPEC-L,UpLimit-L,DownLimit-L,SPEC-J,UpLimit-J,DownLimit-J,SPEC-M,UpLimit-M,DownLimit-M,SPEC-O,UpLimit-O,DownLimit-O,SPEC-N,UpLimit-N,DownLimit-N,RawUp,up,up,up,up,up,up,up,up,RawDown,outer,outer,outer,outer,down,down,down,inner,ped1,ped1,ped1,inner,down,inner,ped1,ped1,down,inner,RawUpSTATUS,up,up,up,up,up,up,up,up,RawDownSTATUS,outer,outer,outer,outer,down,down,down,inner,ped1,ped1,ped1,inner,down,inner,ped1,ped1,down,inner,RawUpGT,up,up,up,up,up,up,up,up,RawDownGT,outer,outer,outer,outer,down,down,down,inner,ped1,ped1,ped1,inner,down,inner,ped1,ped1,down,inner,
20181020-094402,20181020-094503,NG,|上表面轮廓度 -6.620 超差|上表面平行度 0.334 超差|,61.26,,A117NoFin,LeftStation,SPC,-6.620,0.334,0.000,-6.000,0.014,5.345,SPC MIN,-6.620,-6.620,0.000,-6.000,0.014,5.344,SPC MAX,-6.286,-6.286,0.000,-6.000,0.014,5.345,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-6.620,0.334,0.000,-6.000,0.014,5.345,SPCMIN,-6.620,-6.620,0.000,-6.000,0.014,5.344,SPCMAX,-6.286,-6.286,0.000,-6.000,0.014,5.345,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-8.532,-8.406,-8.466,-8.592,-8.516,-8.451,-8.487,-8.551,RawDown,3.099,3.112,3.498,3.484,-7.920,-7.908,-8.046,-2.070,-2.120,-2.151,-2.116,-2.062,-8.173,-2.203,-2.182,-2.186,-8.185,-2.211,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,-0.056,-0.056,-0.056,-0.056,-0.055,-0.056,-0.056,-0.056,RawDownGT,0.011,0.009,0.009,0.009,0.044,0.044,0.044,0.009,0.044,0.044,0.044,0.009,0.044,0.009,0.044,0.044,0.044,0.009,
20181020-095214,20181020-095313,NG,|上表面轮廓度 -6.621 超差|上表面平行度 0.335 超差|,58.81,,A117NoFin,LeftStation,SPC,-6.621,0.335,0.000,-6.000,0.013,5.343,SPC MIN,-6.621,-6.621,0.000,-6.000,0.013,5.343,SPC MAX,-6.286,-6.286,0.000,-6.000,0.013,5.343,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-6.621,0.335,0.000,-6.000,0.013,5.343,SPCMIN,-6.621,-6.621,0.000,-6.000,0.013,5.343,SPCMAX,-6.286,-6.286,0.000,-6.000,0.013,5.343,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-8.532,-8.406,-8.466,-8.592,-8.516,-8.451,-8.487,-8.551,RawDown,3.098,3.112,3.498,3.484,-7.919,-7.907,-8.046,-2.070,-2.119,-2.150,-2.115,-2.062,-8.172,-2.203,-2.181,-2.185,-8.184,-2.211,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,-0.056,-0.056,-0.056,-0.056,-0.056,-0.056,-0.056,-0.056,RawDownGT,0.009,0.009,0.009,0.009,0.044,0.044,0.044,0.009,0.045,0.045,0.045,0.009,0.045,0.009,0.045,0.045,0.045,0.009,
20181020-095805,20181020-095905,NG,|上表面轮廓度 -6.619 超差|上表面平行度 0.332 超差|,60.50,,A117NoFin,LeftStation,SPC,-6.619,0.332,0.000,-6.000,0.013,5.345,SPC MIN,-6.619,-6.619,0.000,-6.000,0.012,5.342,SPC MAX,-6.287,-6.287,0.000,-5.999,0.013,5.345,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-6.619,0.332,0.000,-6.000,0.013,5.345,SPCMIN,-6.619,-6.619,0.000,-6.000,0.012,5.342,SPCMAX,-6.287,-6.287,0.000,-5.999,0.013,5.345,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-8.532,-8.406,-8.466,-8.592,-8.516,-8.451,-8.487,-8.551,RawDown,3.098,3.112,3.498,3.484,-7.920,-7.907,-8.045,-2.070,-2.119,-2.150,-2.115,-2.062,-8.171,-2.203,-2.180,-2.184,-8.183,-2.211,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,-0.056,-0.056,-0.056,-0.056,-0.056,-0.056,-0.056,-0.056,RawDownGT,0.009,0.009,0.009,0.009,0.044,0.045,0.045,0.009,0.045,0.045,0.045,0.009,0.046,0.009,0.046,0.046,0.046,0.009,
