20180720-142842,20180720-142913,NG,,31.07,,A117WithFin,A117WithFin,19916.400,-10001.000,0.000,RawUp,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,RawDown,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,
20180720-142928,20180720-143000,NG,,31.51,,A117WithFin,A117WithFin,19916.500,-10001.000,0.000,RawUp,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,RawDown,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,
20180720-143011,20180720-143042,NG,,31.51,,A117WithFin,A117WithFin,19916.500,-10001.000,0.000,RawUp,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,RawDown,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,
20180720-143043,20180720-143114,NG,,31.08,,A117WithFin,A117WithFin,19916.400,-10001.000,0.000,RawUp,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,RawDown,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,
20180720-143238,20180720-143309,NG,,31.51,,A117WithFin,A117WithFin,19916.500,-10001.000,0.000,RawUp,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,RawDown,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,
20180720-143316,20180720-143348,NG,,32.36,,A117WithFin,A117WithFin,19916.500,-10001.000,0.000,RawUp,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,RawDown,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,
20180720-143359,20180720-143432,NG,,32.49,,A117WithFin,A117WithFin,19916.500,-10001.000,0.000,RawUp,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,RawDown,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,
20180720-143443,20180720-143515,NG,,32.48,,A117WithFin,A117WithFin,19916.500,-10001.000,0.000,RawUp,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,RawDown,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,
20180720-143526,20180720-143559,NG,,32.45,,A117WithFin,A117WithFin,19916.500,-10001.000,0.000,RawUp,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,RawDown,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,
20180720-143609,20180720-143642,NG,,32.42,,A117WithFin,A117WithFin,19916.500,-10001.000,0.000,RawUp,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,RawDown,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,
20180720-171723,20180720-171755,NG,,31.90,,A117WithFin,A117WithFin,58.191,1.599,0.000,RawUp,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,RawDown,0.036,0.036,0.036,0.036,0.036,0.009,0.009,0.010,0.009,
20180720-172025,20180720-172058,NG,,33.13,,A117WithFin,A117WithFin,58.191,1.600,0.000,RawUp,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,RawDown,0.036,0.036,0.036,0.036,0.036,0.009,0.009,0.009,0.009,
20180720-172211,20180720-172246,NG,,34.43,,A117WithFin,A117WithFin,58.191,1.600,0.000,RawUp,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,RawDown,0.036,0.036,0.036,0.036,0.036,0.008,0.008,0.008,0.008,
20180720-172252,20180720-172327,NG,,34.42,,A117WithFin,A117WithFin,58.191,1.600,0.000,RawUp,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,RawDown,0.036,0.036,0.036,0.036,0.036,0.008,0.008,0.008,0.008,
20180720-172910,20180720-172953,NG,,42.74,,A117WithFin,A117WithFin,60.162,-0.818,0.313,RawUp,1.630,1.426,1.325,1.384,1.569,1.556,1.267,1.450,RawDown,0.056,0.764,0.791,0.098,0.737,2.404,2.356,2.409,2.427,
20180720-173534,20180720-173609,NG,,34.84,,A117WithFin,A117WithFin,60.456,0.607,0.024,RawUp,1.756,1.554,1.707,1.834,1.757,1.722,1.652,1.728,RawDown,0.553,0.561,0.506,0.479,0.505,2.215,2.187,2.098,2.094,
20180720-174049,20180720-174124,NG,,34.81,,A117WithFin,A117WithFin,60.460,0.614,0.029,RawUp,1.747,1.553,1.712,1.850,1.754,1.721,1.664,1.713,RawDown,0.562,0.567,0.506,0.482,0.505,2.222,2.192,2.088,2.091,
20180720-174211,20180720-174245,NG,,34.82,,A117WithFin,A117WithFin,60.457,0.612,0.029,RawUp,1.745,1.550,1.708,1.849,1.751,1.719,1.664,1.710,RawDown,0.561,0.567,0.504,0.480,0.504,2.221,2.192,2.085,2.089,
20180720-174254,20180720-174328,NG,,34.82,,A117WithFin,A117WithFin,60.452,0.612,0.028,RawUp,1.742,1.544,1.707,1.848,1.747,1.712,1.661,1.707,RawDown,0.560,0.566,0.503,0.479,0.503,2.220,2.191,2.083,2.087,
20180720-174337,20180720-174412,NG,,34.81,,A117WithFin,A117WithFin,60.454,0.612,0.028,RawUp,1.739,1.541,1.707,1.850,1.748,1.714,1.663,1.703,RawDown,0.562,0.568,0.505,0.481,0.505,2.220,2.190,2.084,2.088,
20180720-174423,20180720-174505,NG,,42.11,,A117WithFin,A117WithFin,60.445,0.606,0.028,RawUp,1.739,1.544,1.705,1.838,1.740,1.705,1.649,1.695,RawDown,0.558,0.564,0.503,0.479,0.502,2.215,2.186,2.082,2.085,
20180720-174514,20180720-174554,NG,,40.08,,A117WithFin,A117WithFin,60.449,0.608,0.028,RawUp,1.732,1.540,1.698,1.846,1.744,1.710,1.657,1.707,RawDown,0.560,0.566,0.503,0.480,0.504,2.217,2.188,2.082,2.084,
20180720-174624,20180720-174704,NG,,40.08,,A117WithFin,A117WithFin,60.455,0.608,0.028,RawUp,1.741,1.545,1.707,1.852,1.753,1.715,1.664,1.708,RawDown,0.560,0.566,0.503,0.480,0.503,2.217,2.188,2.083,2.086,
20180720-174714,20180720-174754,NG,,40.08,,A117WithFin,A117WithFin,60.453,0.605,0.028,RawUp,1.745,1.548,1.708,1.853,1.752,1.717,1.661,1.699,RawDown,0.558,0.564,0.502,0.479,0.502,2.214,2.185,2.081,2.084,
20180720-174808,20180720-174850,NG,,42.70,,A117WithFin,A117WithFin,60.453,0.608,0.029,RawUp,1.739,1.543,1.705,1.854,1.747,1.715,1.659,1.698,RawDown,0.561,0.567,0.505,0.481,0.504,2.217,2.188,2.083,2.086,
20180720-174910,20180720-174950,NG,,40.08,,A117WithFin,A117WithFin,60.310,-0.701,0.007,RawUp,1.552,1.458,1.294,1.350,1.509,1.462,1.395,1.437,RawDown,0.643,0.639,0.664,0.683,0.654,2.226,2.206,2.237,2.310,
20180720-175235,20180720-175315,NG,,40.06,,A117WithFin,A117WithFin,60.454,0.608,0.028,RawUp,1.741,1.546,1.709,1.859,1.749,1.713,1.658,1.703,RawDown,0.561,0.567,0.503,0.480,0.504,2.217,2.188,2.080,2.082,
20180720-182146,20180720-182218,NG,,32.03,,A117WithFin,A117WithFin,60.485,0.608,0.030,RawUp,1.182,1.105,1.219,1.378,1.244,1.199,1.236,1.173,RawDown,0.562,0.568,0.505,0.480,0.504,2.217,2.186,2.077,2.080,
20180720-182420,20180720-182452,NG,,32.02,,A117WithFin,A117WithFin,60.487,0.609,0.029,RawUp,1.186,1.109,1.221,1.383,1.245,1.200,1.237,1.173,RawDown,0.563,0.567,0.503,0.479,0.503,2.217,2.186,2.076,2.079,
20180720-182502,20180720-182534,NG,,32.05,,A117WithFin,A117WithFin,60.485,0.606,0.030,RawUp,1.183,1.108,1.221,1.381,1.244,1.201,1.239,1.176,RawDown,0.561,0.566,0.502,0.476,0.501,2.215,2.184,2.074,2.077,
20180720-182544,20180720-182616,NG,,32.05,,A117WithFin,A117WithFin,60.486,0.607,0.030,RawUp,1.184,1.110,1.221,1.382,1.247,1.201,1.238,1.173,RawDown,0.561,0.566,0.502,0.478,0.501,2.215,2.184,2.077,2.080,
20180720-182741,20180720-182813,NG,,32.05,,A117WithFin,A117WithFin,60.486,0.608,0.030,RawUp,1.185,1.108,1.218,1.379,1.241,1.199,1.237,1.175,RawDown,0.563,0.568,0.504,0.479,0.503,2.217,2.186,2.076,2.080,
