StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,FAI,B-CONDENSER FLATNESS,A-PEDESTAL FLATNESS,E-HEIGHT FROM PEDESTAL TO BOTTOM OF FINS,E-HEIGHT FROM PEDESTAL TO BOTTOM OF FINS,E-HEIGHT FROM PEDESTAL TO BOTTOM OF FINS,E-HEIGHT FROM PEDESTAL TO BOTTOM OF FINS,E-HEIGHT FROM PEDESTAL TO BOTTOM OF FINS,E-HEIGHT FROM PEDESTAL TO BOTTOM OF FINS,E-HEIGHT FROM PEDESTAL TO BOTTOM OF FINS,E-HEIGHT FROM PEDESTAL TO BOTTOM OF FINS,E-HEIGHT FROM PEDESTAL TO BOTTOM OF FINS,I-HEIGHT DIFFERENCE BTW PEDESTAL TO STANDOFFS,I-HEIGHT DIFFERENCE BTW PEDESTAL TO STANDOFFS,I-HEIGHT DIFFERENCE BTW PEDESTAL TO STANDOFFS,I-HEIGHT DIFFERENCE BTW PEDESTAL TO STANDOFFS,I-HEIGHT DIFFERENCE BTW PEDESTAL TO STANDOFFS,FAISPEC,SPEC-B,UpLimit-B,DownLimit-B,SPEC-A,UpLimit-A,DownLimit-A,SPEC-E,UpLimit-E,DownLimit-E,SPEC-I,UpLimit-I,DownLimit-I,RawUp,GT,GT,GT,GT,GT,GT,GT,GT,RawDown,GT1,GT1,GT1,GT1,GT1,GT2,GT2,GT2,GT2,
20180813-153341,20180813-153416,OK,,35.05,,A117NoFin,RightStation,FAI,0.178,0.027,10.756,10.394,10.453,10.756,10.417,10.461,10.447,10.483,10.527,0.033,0.020,0.011,-0.033,0.025,FAISPEC,0.00,0.260,0.00,0.00,0.100,0.00,10.50,0.300,-0.30,0.00,0.100,-0.10,RawUp,2.772,2.119,2.266,2.640,2.577,2.285,2.256,2.577,RawDown,2.066,2.201,2.225,2.095,2.121,2.682,2.955,2.968,2.744,
20180813-154158,20180813-154237,OK,,39.83,,A117NoFin,RightStation,FAI,0.177,0.027,10.751,10.398,10.450,10.751,10.418,10.462,10.447,10.482,10.528,0.031,0.021,0.012,-0.031,0.026,FAISPEC,0.00,0.260,0.00,0.00,0.100,0.00,10.50,0.300,-0.30,0.00,0.100,-0.10,RawUp,2.773,2.120,2.266,2.638,2.578,2.287,2.256,2.577,RawDown,2.068,2.202,2.226,2.097,2.123,2.685,2.956,2.970,2.747,
20180813-165010,20180813-165045,NG,|下凸台平面度 0.112 超差|,35.07,,A117NoFin,RightStation,FAI,0.067,0.112,10.553,10.392,10.537,10.553,10.430,10.469,10.493,10.472,10.493,0.044,-0.028,-0.005,-0.010,-0.044,FAISPEC,0.00,0.260,0.00,0.00,0.100,0.00,10.50,0.300,-0.30,0.00,0.100,-0.10,RawUp,2.667,2.144,2.251,2.796,2.567,2.330,2.347,2.630,RawDown,2.101,2.211,2.184,2.045,2.030,2.743,2.986,2.903,2.671,
